barrio,paquetes,modelo,comercios_barrio,cids_barrio,almacenes_barrio,comercios_seleccionados,semilla,total_kms_walk,total_hours_walk,total_kms_drive,total_hours_drive,distance_cost_van,distance_cost_ona,time_cost_van,time_cost_ona,total_cost
ARRANCAPINS,650,M1,495.0,23.0,179.0,182.4,3.0,49.498599999999996,10.64216,8.629999999999999,0.3468,1.5879400000000001,0.0,276.48198,0.0,278.0699
ARRANCAPINS,650,M2,495.0,23.0,179.0,182.4,3.0,70.3414,14.846039999999999,1.51348,0.05700000000000001,0.27846000000000004,3.8687799999999997,1.43404,207.95602,213.53734
ARRANCAPINS,700,M1,495.0,23.0,179.0,193.6,3.0,50.9782,10.9789,7.9232,0.32328,1.45786,0.0,284.36286,0.0,285.82072
ARRANCAPINS,700,M2,495.0,23.0,179.0,193.6,3.0,75.6332,15.979519999999999,0.9033599999999999,0.03382,0.16621999999999998,4.15982,0.8506600000000001,223.83276,229.00946
ARRANCAPINS,750,M1,495.0,23.0,179.0,206.8,3.0,55.311400000000006,11.898480000000001,7.6992,0.32618,1.4166599999999998,0.0,307.57254,0.0,308.98918
ARRANCAPINS,750,M2,495.0,23.0,179.0,206.8,3.0,81.1662,17.13732,0.8379200000000001,0.03212,0.15417999999999998,4.46414,0.8079599999999999,240.05124,245.47755999999998
ARRANCAPINS,800,M1,495.0,23.0,179.0,217.6,3.0,56.1662,12.06606,8.124,0.32632,1.49482,0.0,311.79244,0.0,313.28726
ARRANCAPINS,800,M2,495.0,23.0,179.0,217.6,3.0,83.6694,17.61828,0.889,0.0351,0.16358,4.6018,0.8835799999999999,246.78815999999998,252.43714
ARRANCAPINS,850,M1,495.0,23.0,179.0,228.4,3.0,56.541999999999994,12.162600000000001,8.4434,0.35294,1.5536,0.0,314.89148,0.0,316.44508
ARRANCAPINS,850,M2,495.0,23.0,179.0,228.4,3.0,89.4086,18.83868,1.3385200000000002,0.05186,0.24628,4.91746,1.30484,263.88262,270.35122
ARRANCAPINS,900,M1,495.0,23.0,179.0,238.8,3.0,62.07919999999999,13.350040000000002,8.1938,0.33765999999999996,1.50766,0.0,344.38202,0.0,345.88968
ARRANCAPINS,900,M2,495.0,23.0,179.0,238.8,3.0,93.84020000000001,19.76552,1.25254,0.04734,0.23045999999999997,5.16122,1.1914,276.86542,283.44852000000003
ARRANCAPINS,950,M1,495.0,23.0,179.0,249.2,3.0,65.35040000000001,14.033760000000001,7.744,0.31978,1.42488,0.0,361.13532,0.0,362.56021999999996
ARRANCAPINS,950,M2,495.0,23.0,179.0,249.2,3.0,97.036,20.4142,0.98392,0.03816,0.18106,5.33698,0.96036,285.952,292.4304
ARRANCAPINS,1000,M1,495.0,23.0,179.0,259.8,3.0,68.7442,14.7327,7.865,0.33458,1.44716,0.0,379.09394000000003,0.0,380.54110000000003
ARRANCAPINS,1000,M2,495.0,23.0,179.0,259.8,3.0,103.09479999999999,21.67664,1.3270199999999999,0.048780000000000004,0.24416000000000002,5.67022,1.22774,303.63574,310.77784
ARRANCAPINS,1050,M1,495.0,23.0,179.0,268.4,3.0,67.7038,14.56838,8.233799999999999,0.33086,1.5150000000000001,0.0,374.8642,0.0,376.37922
ARRANCAPINS,1050,M2,495.0,23.0,179.0,268.4,3.0,104.0134,21.851660000000003,1.14576,0.04046,0.21082,5.72076,1.01738,306.08732,313.03625999999997
ARRANCAPINS,1100,M1,495.0,23.0,179.0,277.8,3.0,69.2662,14.90194,7.766800000000001,0.31412,1.42912,0.0,382.83548,0.0,384.26455999999996
ARRANCAPINS,1100,M2,495.0,23.0,179.0,277.8,3.0,110.43440000000001,23.222140000000003,0.8966000000000001,0.03144,0.16496,6.0739,0.7912600000000001,325.28436,332.31448
ARRANCAPINS,1150,M1,495.0,23.0,179.0,286.4,3.0,72.27340000000001,15.584120000000002,9.3318,0.38323999999999997,1.71706,0.0,401.73776,0.0,403.45482000000004
ARRANCAPINS,1150,M2,495.0,23.0,179.0,286.4,3.0,113.5848,23.89462,1.5333599999999998,0.05943999999999999,0.28216,6.24718,1.4953800000000002,334.70372,342.72844
ARRANCAPINS,1200,M1,495.0,23.0,179.0,294.4,3.0,79.80019999999999,17.17548,8.391,0.35116,1.54396,0.0,440.97083999999995,0.0,442.51480000000004
ARRANCAPINS,1200,M2,495.0,23.0,179.0,294.4,3.0,118.3152,24.85496,0.91368,0.0366,0.1681,6.507339999999999,0.92134,348.15566,355.75246
ARRANCAPINS,1250,M1,495.0,23.0,179.0,300.6,3.0,82.3178,17.66396,8.2056,0.3321,1.50982,0.0,452.78104,0.0,454.29085999999995
ARRANCAPINS,1250,M2,495.0,23.0,179.0,300.6,3.0,121.455,25.49164,0.9863799999999999,0.03748,0.18148,6.68004,0.9425800000000001,357.07442000000003,364.87852
ARRANCAPINS,1300,M1,495.0,23.0,179.0,309.2,3.0,81.0424,17.42094,8.4038,0.33514,1.5463200000000001,0.0,446.74256,0.0,448.28884
ARRANCAPINS,1300,M2,495.0,23.0,179.0,309.2,3.0,127.10740000000001,26.67864,1.16674,0.046099999999999995,0.21467999999999998,6.99092,1.1602000000000001,373.70120000000003,382.06694
ARRANCAPINS,1350,M1,495.0,23.0,179.0,317.6,3.0,79.2624,17.09924,8.597999999999999,0.36626,1.58204,0.0,439.43114,0.0,441.01318000000003
ARRANCAPINS,1350,M2,495.0,23.0,179.0,317.6,3.0,130.1722,27.335919999999998,1.37162,0.05458,0.25238,7.15948,1.37358,382.90758,391.69298
ARRANCAPINS,1400,M1,495.0,23.0,179.0,325.0,3.0,81.9736,17.6205,8.295,0.3295,1.52628,0.0,451.6224,0.0,453.14872
ARRANCAPINS,1400,M2,495.0,23.0,179.0,325.0,3.0,133.6868,28.037200000000002,1.01438,0.03956,0.18664,7.352799999999999,0.9953799999999999,392.73105999999996,401.26586
ARRANCAPINS,1450,M1,495.0,23.0,179.0,332.6,3.0,85.463,18.378300000000003,7.8482,0.32736,1.44408,0.0,470.6349,0.0,472.07897999999994
ARRANCAPINS,1450,M2,495.0,23.0,179.0,332.6,3.0,137.674,28.89778,1.30208,0.046439999999999995,0.23959999999999998,7.572059999999999,1.16842,404.78589999999997,413.76597999999996
BENICALAP,50,M1,361.0,42.0,412.0,18.8,3.0,5.205,1.1030200000000001,8.883,0.28537999999999997,1.63448,0.0,34.93282,0.0,36.56728
BENICALAP,50,M2,361.0,42.0,412.0,18.8,3.0,9.8714,2.07194,0.86798,0.0315,0.15972,0.54292,0.7926799999999999,29.022839999999995,30.51818
