modelo,barrio,comercios_barrio,cids_barrio,almacenes_barrio,paquetes,comercios_seleccionados,semilla,total_kms_walk,total_hours_walk,total_kms_drive,total_hours_drive,distance_cost_van,distance_cost_ona,time_cost_van,time_cost_ona,total_cost
M1,AIORA,306,28,118,300,89,2,24.507,5.2252,16.946,0.6025,3.1181,0.0,146.6262,0.0,149.7443
M2,AIORA,306,28,118,300,89,2,37.152,7.955,1.5154,0.0618,0.2788,2.0434,1.5556,111.4299,115.3077
M1,AIORA,306,28,118,300,86,3,23.118,4.9397,13.613,0.5703,2.5048,0.0,138.6324,0.0,141.1372
M2,AIORA,306,28,118,300,86,3,39.13,8.4028,1.1485,0.0435,0.2113,2.1521,1.0934,117.702,121.1589
M1,AIORA,306,28,118,300,88,4,25.003,5.372,16.441,0.5822,3.0251,0.0,149.8073,0.0,152.8324
M2,AIORA,306,28,118,300,88,4,28.29,5.9895,1.2262,0.0473,0.2256,1.556,1.1903,83.8972,86.8691
M1,AIORA,306,28,118,300,86,5,23.917,5.1783,17.688,0.5825,3.2546,0.0,144.943,0.0,148.1976
M2,AIORA,306,28,118,300,86,5,32.008,6.6839,1.1318,0.0475,0.2083,1.7604,1.1942,93.6247,96.7876
M1,AIORA,306,28,118,350,108,1,28.11,6.0714,18.154,0.6178,3.3403,0.0,168.2994,0.0,171.6398
M2,AIORA,306,28,118,350,108,1,45.974,9.955,0.7212,0.0269,0.1327,2.5286,0.6779,139.4449,142.7841
M1,AIORA,306,28,118,350,101,2,25.936,5.5255,15.929,0.6053,2.9309,0.0,154.2501,0.0,157.181
M2,AIORA,306,28,118,350,101,2,42.234,9.0275,1.2782,0.0529,0.2352,2.3229,1.33,126.4525,130.3405
M1,AIORA,306,28,118,350,94,3,25.465,5.4597,16.35,0.5444,3.0084,0.0,151.0653,0.0,154.0737
M2,AIORA,306,28,118,350,94,3,42.299,9.0483,0.9845,0.0318,0.1811,2.3264,0.7993,126.7445,130.0515
M1,AIORA,306,28,118,350,104,4,28.712,6.1625,16.669,0.5658,3.0671,0.0,169.2853,0.0,172.3524
M2,AIORA,306,28,118,350,104,4,32.082,6.8158,0.8862,0.0338,0.1631,1.7645,0.8504,95.473,98.251
M1,AIORA,306,28,118,350,100,5,26.806,5.7767,17.819,0.5933,3.2787,0.0,160.2692,0.0,163.5479
M2,AIORA,306,28,118,350,100,5,33.33,6.9872,1.882,0.0815,0.3463,1.8332,2.0501,97.8739,102.1034
M1,AIORA,306,28,118,400,121,1,31.126,6.7072,17.479,0.623,3.2161,0.0,184.4303,0.0,187.6465
M2,AIORA,306,28,118,400,121,1,49.776,10.7108,1.1359,0.0382,0.209,2.7377,0.9613,150.0318,153.9398
M1,AIORA,306,28,118,400,115,2,30.671,6.5255,17.683,0.6053,3.2537,0.0,179.4113,0.0,182.665
M2,AIORA,306,28,118,400,115,2,47.719,10.2186,0.214,0.0104,0.0394,2.6245,0.2612,143.1366,146.0617
M1,AIORA,306,28,118,400,105,3,28.546,6.1544,15.978,0.5605,2.94,0.0,168.949,0.0,171.8889
M2,AIORA,306,28,118,400,105,3,50.507,10.7267,0.2103,0.01,0.0387,2.7779,0.2525,150.254,153.3231
M1,AIORA,306,28,118,400,118,4,31.56,6.7853,15.468,0.5767,2.8461,0.0,185.2271,0.0,188.0732
M2,AIORA,306,28,118,400,118,4,35.752,7.6142,0.759,0.0323,0.1396,1.9664,0.813,106.6557,109.5747
M1,AIORA,306,28,118,400,116,5,29.051,6.3122,17.733,0.5803,3.2629,0.0,173.4153,0.0,176.6782
M2,AIORA,306,28,118,400,116,5,38.788,8.0986,1.1218,0.0471,0.2064,2.1333,1.184,113.4407,116.9644
M1,AIORA,306,28,118,450,131,1,28.983,6.1956,17.852,0.6161,3.2848,0.0,171.382,0.0,174.6667
M2,AIORA,306,28,118,450,131,1,52.72,11.352,0.5021,0.0169,0.0924,2.8996,0.4246,159.0124,162.429
M1,AIORA,306,28,118,450,126,2,33.213,7.0932,18.135,0.6086,3.3368,0.0,193.7785,0.0,197.1154
M2,AIORA,306,28,118,450,126,2,50.491,10.8178,0.4897,0.0167,0.0901,2.777,0.4205,151.5301,154.8177
M1,AIORA,306,28,118,450,117,3,33.031,7.0594,16.351,0.5928,3.0086,0.0,192.5298,0.0,195.5384
M2,AIORA,306,28,118,450,117,3,54.167,11.5822,1.5117,0.0615,0.2782,2.9792,1.547,162.2372,167.0415
M1,AIORA,306,28,118,450,129,4,32.14,6.8828,16.075,0.6042,2.9578,0.0,188.3717,0.0,191.3295
M2,AIORA,306,28,118,450,129,4,38.739,8.27,0.9498,0.0356,0.1748,2.1306,0.8952,115.8423,119.0429
M1,AIORA,306,28,118,450,126,5,33.201,7.2275,16.645,0.5939,3.0627,0.0,196.7856,0.0,199.8483
M2,AIORA,306,28,118,450,126,5,41.869,8.7756,0.7588,0.0329,0.1396,2.3028,0.8268,122.9238,126.193
M1,AIORA,306,28,118,500,144,1,31.573,6.7656,17.266,0.6214,3.1769,0.0,185.8552,0.0,189.0322
M2,AIORA,306,28,118,500,144,1,56.996,12.2331,1.5212,0.0618,0.2799,3.1348,1.556,171.3547,176.3254
M1,AIORA,306,28,118,500,138,2,36.306,7.773,18.4,0.6028,3.3856,0.0,210.7347,0.0,214.1203
