id,barrio,x,y
108004994,PATRAIX,-0.3901434,39.4565827
108005079,PATRAIX,-0.3912369,39.4572589
108005093,PATRAIX,-0.3928363,39.4587293
108005147,PATRAIX,-0.396577,39.4621448
108005164,PATRAIX,-0.397261,39.4627757
111132052,PATRAIX,-0.3877649,39.4638586
111132077,PATRAIX,-0.3881918,39.4644637
111200291,PATRAIX,-0.3908542,39.4671419
112137698,PATRAIX,-0.3890998,39.458376
112137718,PATRAIX,-0.3893824,39.4579586
112137737,PATRAIX,-0.3885843,39.4591412
112137747,PATRAIX,-0.3896613,39.457545
112137751,PATRAIX,-0.3899247,39.4571382
112184689,PATRAIX,-0.3870173,39.462625
112184696,PATRAIX,-0.3880228,39.4621819
116137860,PATRAIX,-0.3961636,39.4617588
116137864,PATRAIX,-0.3949222,39.4607544
126094014,PATRAIX,-0.3925926,39.467457
231516861,PATRAIX,-0.3885922,39.4650138
231516871,PATRAIX,-0.3890394,39.4655603
254902038,PATRAIX,-0.394494,39.4653865
254902044,PATRAIX,-0.3947952,39.4660804
254902049,PATRAIX,-0.3950105,39.4669237
254902054,PATRAIX,-0.3915267,39.4672651
254902079,PATRAIX,-0.3874471,39.4632266
254902088,PATRAIX,-0.3880803,39.4607999
255007129,PATRAIX,-0.3974347,39.4638632
255007196,PATRAIX,-0.3960522,39.463998
666267994,PATRAIX,-0.3889091,39.4599351
4725061385,PATRAIX,-0.395318,39.46763
8664243236,PATRAIX,-0.3941343,39.4601068
10253640443,PATRAIX,-0.3885249,39.4603318
12413138800,PATRAIX,-0.3876546,39.4617214
25767480,MESTALLA,-0.3648664,39.4736524
60545943,MESTALLA,-0.3642825,39.4739711
60545974,MESTALLA,-0.3587826,39.4756558
69573284,MESTALLA,-0.3531793,39.4756208
69574954,MESTALLA,-0.3592023,39.4747825
69575255,MESTALLA,-0.3526242,39.4751603
69576328,MESTALLA,-0.3582677,39.4767123
69578271,MESTALLA,-0.3552084,39.4761875
84975830,MESTALLA,-0.3585471,39.4761538
84975992,MESTALLA,-0.3626693,39.4738821
84976047,MESTALLA,-0.3608446,39.4733637
84976087,MESTALLA,-0.3633854,39.4740864
84976328,MESTALLA,-0.3616801,39.473602
88429466,MESTALLA,-0.3579197,39.4643806
88429468,MESTALLA,-0.3591937,39.4635967
110317239,MESTALLA,-0.354582,39.4711056
110575287,MESTALLA,-0.3565699,39.4670629
131943240,MESTALLA,-0.3543088,39.4716811
160792591,MESTALLA,-0.3545535,39.4760268
249507401,MESTALLA,-0.3531673,39.4739985
249507432,MESTALLA,-0.3537712,39.4727647
249528514,MESTALLA,-0.3549736,39.4703209
249528556,MESTALLA,-0.3554602,39.469326
249528560,MESTALLA,-0.3556681,39.4689007
250290644,MESTALLA,-0.3567667,39.4664468
250290649,MESTALLA,-0.3575797,39.4649861
3906225999,MESTALLA,-0.3660115,39.4730889
6793531693,MESTALLA,-0.3560483,39.4764334
6857386662,MESTALLA,-0.3572194,39.4657226
297664595,MESTALLA,-0.3614977,39.4668462
297664612,MESTALLA,-0.3606962,39.4654021
297664646,MESTALLA,-0.3600007,39.4636762
297664675,MESTALLA,-0.3639946,39.470541
297664686,MESTALLA,-0.3634783,39.4699388
297664725,MESTALLA,-0.3645011,39.471184
297664738,MESTALLA,-0.3632301,39.4694471
299218289,MESTALLA,-0.3653919,39.4722995
299218299,MESTALLA,-0.3650074,39.4718515
299223405,MESTALLA,-0.3623606,39.4683225
299223788,MESTALLA,-0.3600951,39.4642169
299223822,MESTALLA,-0.3618675,39.4674126
429785059,MESTALLA,-0.3612494,39.4663728
429797987,MESTALLA,-0.3627627,39.4690483
6439875131,MESTALLA,-0.3600169,39.4746512
96079531,L'HORT DE SENABRE,-0.3950205,39.449471
105958148,L'HORT DE SENABRE,-0.392082,39.4476937
105958296,L'HORT DE SENABRE,-0.3888198,39.4556138
105958298,L'HORT DE SENABRE,-0.3872435,39.4548866
105958306,L'HORT DE SENABRE,-0.3885315,39.4530852
105958307,L'HORT DE SENABRE,-0.3887309,39.4521748
105958309,L'HORT DE SENABRE,-0.3889044,39.4513673
105958314,L'HORT DE SENABRE,-0.3893602,39.4492492
105958322,L'HORT DE SENABRE,-0.3896328,39.4479395
112137615,L'HORT DE SENABRE,-0.3895481,39.4560114
112137850,L'HORT DE SENABRE,-0.3917311,39.454399
112137857,L'HORT DE SENABRE,-0.3913305,39.4549965
112137880,L'HORT DE SENABRE,-0.3906517,39.4559985
112597022,L'HORT DE SENABRE,-0.3943411,39.450501
128296850,L'HORT DE SENABRE,-0.3935109,39.4517357
128296874,L'HORT DE SENABRE,-0.3890973,39.4504695
128296894,L'HORT DE SENABRE,-0.392197,39.4536885
128296899,L'HORT DE SENABRE,-0.3925957,39.4531045
128296937,L'HORT DE SENABRE,-0.3931863,39.4522258
255172084,L'HORT DE SENABRE,-0.3940114,39.4509853
255172141,L'HORT DE SENABRE,-0.389246,39.4497774
1876879411,L'HORT DE SENABRE,-0.3946337,39.4500244
7095288982,L'HORT DE SENABRE,-0.3901993,39.4563668
112137799,L'HORT DE SENABRE,-0.3844469,39.4535102
112137801,L'HORT DE SENABRE,-0.3856011,39.453782
112137831,L'HORT DE SENABRE,-0.3864125,39.4543806
255312334,L'HORT DE SENABRE,-0.3959095,39.4482206
255312364,L'HORT DE SENABRE,-0.3959689,39.4475868
255312382,L'HORT DE SENABRE,-0.3927823,39.4476237
255312387,L'HORT DE SENABRE,-0.393902,39.4476047
255312388,L'HORT DE SENABRE,-0.3951726,39.4475647
1225135107,L'HORT DE SENABRE,-0.3875419,39.4529781
3562148919,L'HORT DE SENABRE,-0.3863814,39.4528635
6227708715,L'HORT DE SENABRE,-0.3846222,39.4526499
11862324735,L'HORT DE SENABRE,-0.3902112,39.4478032
96029972,EN CORTS,-0.3752225,39.4572049
107394285,EN CORTS,-0.3674633,39.4550558
107394323,EN CORTS,-0.3682802,39.4546366
107417865,EN CORTS,-0.3730027,39.4529844
107417897,EN CORTS,-0.3726611,39.4523352
108538241,EN CORTS,-0.3711319,39.4523887
111179993,EN CORTS,-0.3739876,39.4576306
111180061,EN CORTS,-0.3714027,39.4587076
112484614,EN CORTS,-0.3682015,39.4575966
112484679,EN CORTS,-0.3683929,39.4580386
112484688,EN CORTS,-0.3688667,39.4588375
112484740,EN CORTS,-0.36928,39.4596134
863514063,EN CORTS,-0.3715235,39.4513932
994095156,EN CORTS,-0.3727251,39.4581434
994095280,EN CORTS,-0.3747431,39.4552538
1768607863,EN CORTS,-0.3709739,39.4533421
2173325981,EN CORTS,-0.3754938,39.4566345
112484695,EN CORTS,-0.3667867,39.4552422
112484786,EN CORTS,-0.3672927,39.4561079
1341008611,EN CORTS,-0.3675653,39.4565513
10869010394,EN CORTS,-0.3678934,39.4570864
107334122,NATZARET,-0.3352373,39.4483182
132104493,NATZARET,-0.3309451,39.4540349
254744411,NATZARET,-0.3359713,39.4424103
254744416,NATZARET,-0.3358899,39.4431762
254744420,NATZARET,-0.3357942,39.4440992
254744421,NATZARET,-0.3357026,39.4449334
254744423,NATZARET,-0.3355825,39.446391
1164827279,NATZARET,-0.3351677,39.4512212
1334394354,NATZARET,-0.3348314,39.4541152
1334394372,NATZARET,-0.3349033,39.4530621
1614369259,NATZARET,-0.3353561,39.4501514
1614369328,NATZARET,-0.3354476,39.4495169
1635343453,NATZARET,-0.3356405,39.4456331
5907372152,NATZARET,-0.3354498,39.4474493
7281912244,NATZARET,-0.3349691,39.4525207
10040407229,NATZARET,-0.3355411,39.446901
1334394552,NATZARET,-0.3349099,39.4535415
9388274245,NATZARET,-0.3349555,39.4517198
69572837,LA VEGA BAIXA,-0.3521844,39.4752233
69573586,LA VEGA BAIXA,-0.3526317,39.4755476
69575191,LA VEGA BAIXA,-0.3508953,39.4749496
69576777,LA VEGA BAIXA,-0.3482017,39.4740478
69577966,LA VEGA BAIXA,-0.3492685,39.4744558
69578896,LA VEGA BAIXA,-0.3476456,39.4742071
99503718,LA VEGA BAIXA,-0.3484454,39.478226
109871986,LA VEGA BAIXA,-0.3512611,39.4780721
132152493,LA VEGA BAIXA,-0.3501457,39.4782115
132152634,LA VEGA BAIXA,-0.3493886,39.478218
132152642,LA VEGA BAIXA,-0.3485385,39.4772273
132152651,LA VEGA BAIXA,-0.346564,39.4772989
132152699,LA VEGA BAIXA,-0.347465,39.4772893
159719392,LA VEGA BAIXA,-0.353317,39.4768095
159719516,LA VEGA BAIXA,-0.3527663,39.4779849
159719554,LA VEGA BAIXA,-0.3529724,39.4775398
253312480,LA VEGA BAIXA,-0.3470713,39.4755545
253318410,LA VEGA BAIXA,-0.3473787,39.4748423
318327696,LA VEGA BAIXA,-0.351723,39.477685
6443891869,LA VEGA BAIXA,-0.3502532,39.4747476
11222811945,LA VEGA BAIXA,-0.3467012,39.4764093
11465724594,LA VEGA BAIXA,-0.3514634,39.4751173
10286299314,LA VEGA BAIXA,-0.3533908,39.4757363
69572681,MORVEDRE,-0.3736847,39.4805954
69573313,MORVEDRE,-0.3729743,39.4814743
69576393,MORVEDRE,-0.3724061,39.4824927
128249473,MORVEDRE,-0.3707572,39.4850613
128249536,MORVEDRE,-0.3785218,39.4856
132030015,MORVEDRE,-0.3696096,39.4867544
